week_end,product_group_code,product_module_code,channel_code,store_zip3,fips_state_descr,volume,sales
2010-01-02,507,1038,F,350,AL,8868,541.06
2010-01-09,507,1038,F,350,AL,8246,497.8
2010-01-16,507,1038,F,350,AL,2976,182.99
2010-01-23,507,1038,F,350,AL,3762,223.23
2010-01-30,507,1038,F,350,AL,2944,177.71
2010-02-06,507,1038,F,350,AL,4008,239.97
2010-02-13,507,1038,F,350,AL,4152,248.84
2010-02-20,507,1038,F,350,AL,3890,232.3
2010-02-27,507,1038,F,350,AL,3236,199.05
2010-03-06,507,1038,F,350,AL,4604,280.61
2010-03-13,507,1038,F,350,AL,4214,257.72
2010-03-20,507,1038,F,350,AL,4274,256.51
2010-03-27,507,1038,F,350,AL,3192,202.45
2010-04-03,507,1038,F,350,AL,4116,248.34
2010-04-10,507,1038,F,350,AL,4900,298.35
2010-04-17,507,1038,F,350,AL,5046,317.92
2010-04-24,507,1038,F,350,AL,3836,235.49
2010-05-01,507,1038,F,350,AL,4312,264.09
2010-05-08,507,1038,F,350,AL,4670,284.4
2010-05-15,507,1038,F,350,AL,5032,300.83
2010-05-22,507,1038,F,350,AL,5834,362.54
2010-05-29,507,1038,F,350,AL,5038,307.03
2010-06-05,507,1038,F,350,AL,7858,472.98
2010-06-12,507,1038,F,350,AL,4896,300.05
2010-06-19,507,1038,F,350,AL,5770,349.97
2010-06-26,507,1038,F,350,AL,4738,305.25
2010-07-03,507,1038,F,350,AL,5150,311.81
2010-07-10,507,1038,F,350,AL,8112,492.19
2010-07-17,507,1038,F,350,AL,3992,249.86
2010-07-24,507,1038,F,350,AL,6034,365.67
2010-07-31,507,1038,F,350,AL,4342,257.48
2010-08-07,507,1038,F,350,AL,5682,349.17
2010-08-14,507,1038,F,350,AL,4288,252.41
2010-08-21,507,1038,F,350,AL,4270,257.58
2010-08-28,507,1038,F,350,AL,4516,265.89
2010-09-04,507,1038,F,350,AL,4078,254.88
2010-09-11,507,1038,F,350,AL,5766,353.08
2010-09-18,507,1038,F,350,AL,4824,283.86
2010-09-25,507,1038,F,350,AL,4656,279.05
2010-10-02,507,1038,F,350,AL,3956,234.73
2010-10-09,507,1038,F,350,AL,4436,258.34
2010-10-16,507,1038,F,350,AL,4340,262.04
2010-10-23,507,1038,F,350,AL,4752,268.36
2010-10-30,507,1038,F,350,AL,4406,246.26
2010-11-06,507,1038,F,350,AL,4598,256.33
2010-11-13,507,1038,F,350,AL,3532,205
2010-11-20,507,1038,F,350,AL,4288,241.97
2010-11-27,507,1038,F,350,AL,5940,332.02
2010-12-04,507,1038,F,350,AL,5380,304.95
2010-12-11,507,1038,F,350,AL,5120,302.74
2010-12-18,507,1038,F,350,AL,5908,338.81
2010-12-25,507,1038,F,350,AL,8948,486.11
2010-01-02,507,1038,M,350,AL,460,14.27
2010-01-09,507,1038,M,350,AL,506,16.11
2010-01-16,507,1038,M,350,AL,506,16.18
2010-01-23,507,1038,M,350,AL,276,8.59
2010-01-30,507,1038,M,350,AL,46,1.49
2010-02-06,507,1038,M,350,AL,230,7.65
2010-02-13,507,1038,M,350,AL,138,4.77
2010-02-20,507,1038,M,350,AL,322,11.13
2010-02-27,507,1038,M,350,AL,138,4.67
2010-03-06,507,1038,M,350,AL,138,4.47
2010-03-13,507,1038,M,350,AL,230,7.75
2010-03-20,507,1038,M,350,AL,230,7.65
2010-03-27,507,1038,M,350,AL,322,10.89
2010-04-03,507,1038,M,350,AL,230,9.4
2010-04-10,507,1038,M,350,AL,138,5.67
2010-04-17,507,1038,M,350,AL,506,19.19
2010-04-24,507,1038,M,350,AL,276,10.94
2010-05-01,507,1038,M,350,AL,276,10.94
2010-05-15,507,1038,M,350,AL,460,17.01
2010-05-22,507,1038,M,350,AL,230,6.88
2010-06-12,507,1038,M,350,AL,46,1.89
2010-06-26,507,1038,M,350,AL,276,11.16
2010-07-03,507,1038,M,350,AL,220,9.76
2010-07-10,507,1038,M,350,AL,220,9.76
2010-07-17,507,1038,M,350,AL,64,2.99
2010-07-24,507,1038,M,350,AL,110,4.88
2010-07-31,507,1038,M,350,AL,202,8.66
2010-08-07,507,1038,M,350,AL,266,11.56
2010-08-14,507,1038,M,350,AL,46,1.84
2010-08-21,507,1038,M,350,AL,64,2.99
2010-08-28,507,1038,M,350,AL,192,8.97
2010-09-04,507,1038,M,350,AL,110,4.83
2010-09-11,507,1038,M,350,AL,542,22.54
2010-09-18,507,1038,M,350,AL,46,1.84
2010-10-02,507,1038,M,350,AL,110,4.83
2010-10-09,507,1038,M,350,AL,64,2.99
2010-10-16,507,1038,M,350,AL,92,3.68
2010-10-23,507,1038,M,350,AL,174,7.82
2010-10-30,507,1038,M,350,AL,588,24.86
2010-11-06,507,1038,M,350,AL,460,19.04
2010-11-13,507,1038,M,350,AL,92,3.76
2010-11-20,507,1038,M,350,AL,340,14.27
2010-11-27,507,1038,M,350,AL,358,15.5
2010-12-04,507,1038,M,350,AL,524,21.74
2010-12-11,507,1038,M,350,AL,340,14.15
2010-12-18,507,1038,M,350,AL,414,16.96
2010-12-25,507,1038,M,350,AL,524,21.79
2010-01-02,507,1038,F,351,AL,4052,244.08
2010-01-09,507,1038,F,351,AL,4210,250.75
2010-01-16,507,1038,F,351,AL,1740,106.6
2010-01-23,507,1038,F,351,AL,2466,150.14
2010-01-30,507,1038,F,351,AL,1214,77.01
2010-02-06,507,1038,F,351,AL,1562,98.03
2010-02-13,507,1038,F,351,AL,1542,99.13
2010-02-20,507,1038,F,351,AL,1618,102.82
2010-02-27,507,1038,F,351,AL,1766,107.19
2010-03-06,507,1038,F,351,AL,1884,116.36
2010-03-13,507,1038,F,351,AL,1438,87.17
2010-03-20,507,1038,F,351,AL,1986,121.84
2010-03-27,507,1038,F,351,AL,1992,125.04
2010-04-03,507,1038,F,351,AL,1858,113.97
2010-04-10,507,1038,F,351,AL,1310,79.3
2010-04-17,507,1038,F,351,AL,2328,141.77
2010-04-24,507,1038,F,351,AL,2368,139.87
2010-05-01,507,1038,F,351,AL,2242,136.68
2010-05-08,507,1038,F,351,AL,1766,106.89
2010-05-15,507,1038,F,351,AL,2058,127.02
2010-05-22,507,1038,F,351,AL,2456,146.94
2010-05-29,507,1038,F,351,AL,2696,162.89
2010-06-05,507,1038,F,351,AL,3300,199.05
2010-06-12,507,1038,F,351,AL,1562,100.04
2010-06-19,507,1038,F,351,AL,2416,149.44
2010-06-26,507,1038,F,351,AL,1822,109.28
2010-07-03,507,1038,F,351,AL,1898,113.27
2010-07-10,507,1038,F,351,AL,3690,214.12
2010-07-17,507,1038,F,351,AL,2640,150.6
2010-07-24,507,1038,F,351,AL,1970,113.05
2010-07-31,507,1038,F,351,AL,2462,144.74
2010-08-07,507,1038,F,351,AL,1848,108.37
2010-08-14,507,1038,F,351,AL,2440,144.04
2010-08-21,507,1038,F,351,AL,1540,94.04
2010-08-28,507,1038,F,351,AL,1796,102.1
2010-09-04,507,1038,F,351,AL,2582,149.04
2010-09-11,507,1038,F,351,AL,2752,162.91
2010-09-18,507,1038,F,351,AL,2754,159.7
