ZIP_3_DIGIT,medhhinc,year
364,44878,2006
365,44878,2006
350,36241,2006
359,36241,2006
362,36241,2006
350,33959,2006
351,33959,2006
355,33959,2006
356,33959,2006
359,33959,2006
357,30470,2006
359,30470,2006
350,52278,2006
351,52278,2006
360,52278,2006
351,31562,2006
359,31562,2006
362,31562,2006
363,36599,2006
350,41691,2006
351,41691,2006
352,41691,2006
354,41691,2006
356,37644,2006
368,38398,2006
356,44201,2006
357,44201,2006
357,51359,2006
358,51359,2006
350,37030,2006
351,37030,2006
357,37030,2006
359,37030,2006
365,38686,2006
366,38686,2006
360,41340,2006
361,41340,2006
350,38276,2006
351,38276,2006
356,38276,2006
357,38276,2006
350,47274,2006
351,47274,2006
359,47274,2006
350,66300,2006
351,66300,2006
352,66300,2006
350,33639,2006
351,33639,2006
362,33639,2006
350,37020,2006
351,37020,2006
354,37020,2006
355,37020,2006
350,37176,2006
351,37176,2006
355,37176,2006
995,63656,2006
997,58833,2006
996,58321,2006
859,26502,2006
860,26502,2006
865,26502,2006
856,38427,2006
859,43510,2006
860,43510,2006
863,43510,2006
864,43510,2006
850,52521,2006
851,52521,2006
852,52521,2006
853,52521,2006
855,52521,2006
853,36097,2006
860,36097,2006
864,36097,2006
859,36651,2006
860,36651,2006
865,36651,2006
853,42984,2006
856,42984,2006
857,42984,2006
851,43142,2006
852,43142,2006
855,43142,2006
856,43142,2006
857,43142,2006
853,40649,2006
860,40649,2006
863,40649,2006
853,37457,2006
727,45543,2006
724,39464,2006
720,41748,2006
721,41748,2006
719,33688,2006
720,33688,2006
721,33688,2006
716,32852,2006
720,32852,2006
721,32852,2006
720,43308,2006
721,43308,2006
722,43308,2006
719,47404,2006
720,47404,2006
721,47404,2006
722,47404,2006
729,35917,2006
727,41471,2006
729,41471,2006
720,36259,2006
721,36259,2006
725,36259,2006
945,64424,2006
946,64424,2006
947,64424,2006
950,64424,2006
953,64424,2006
959,40897,2006
945,74241,2006
946,74241,2006
947,74241,2006
948,74241,2006
956,70516,2006
957,70516,2006
961,70516,2006
932,42732,2006
936,42732,2006
937,42732,2006
938,42732,2006
955,40749,2006
922,37086,2006
932,43106,2006
933,43106,2006
934,43106,2006
935,43106,2006
932,43178,2006
936,43178,2006
954,37628,2006
900,51315,2006
902,51315,2006
903,51315,2006
904,51315,2006
905,51315,2006
906,51315,2006
907,51315,2006
908,51315,2006
910,51315,2006
911,51315,2006
912,51315,2006
913,51315,2006
914,51315,2006
915,51315,2006
916,51315,2006
917,51315,2006
918,51315,2006
930,51315,2006
932,51315,2006
935,51315,2006
936,39068,2006
949,81761,2006
954,39705,2006
955,39705,2006
936,40447,2006
953,40447,2006
934,55045,2006
939,55045,2006
950,55045,2006
945,66645,2006
954,66645,2006
956,50675,2006
957,50675,2006
959,50675,2006
961,50675,2006
906,70232,2006
907,70232,2006
908,70232,2006
926,70232,2006
927,70232,2006
928,70232,2006
956,70013,2006
957,70013,2006
959,70013,2006
961,70013,2006
917,53508,2006
920,53508,2006
922,53508,2006
923,53508,2006
925,53508,2006
928,53508,2006
945,53930,2006
956,53930,2006
957,53930,2006
958,53930,2006
917,52941,2006
922,52941,2006
923,52941,2006
924,52941,2006
925,52941,2006
928,52941,2006
935,52941,2006
919,59591,2006
920,59591,2006
921,59591,2006
925,59591,2006
926,59591,2006
940,65497,2006
941,65497,2006
952,51951,2006
953,51951,2006
956,51951,2006
934,50209,2006
940,77914,2006
941,77914,2006
943,77914,2006
944,77914,2006
930,53477,2006
931,53477,2006
932,53477,2006
934,53477,2006
940,80838,2006
943,80838,2006
945,80838,2006
950,80838,2006
951,80838,2006
940,62193,2006
950,62193,2006
960,44120,2006
945,61533,2006
956,61533,2006
945,60821,2006
949,60821,2006
954,60821,2006
952,48566,2006
953,48566,2006
956,51688,2006
958,51688,2006
959,51688,2006
932,41933,2006
936,41933,2006
902,72107,2006
913,72107,2006
930,72107,2006
932,72107,2006
956,51128,2006
957,51128,2006
959,51128,2006
956,38006,2006
959,38006,2006
800,50575,2006
801,50575,2006
802,50575,2006
806,50575,2006
807,50575,2006
800,55161,2006
801,55161,2006
802,55161,2006
800,61748,2006
803,61748,2006
804,61748,2006
805,61748,2006
800,40900,2006
801,40900,2006
802,40900,2006
800,92125,2006
801,92125,2006
804,92125,2006
801,53240,2006
808,53240,2006
809,53240,2006
810,53240,2006
800,60483,2006
801,60483,2006
802,60483,2006
803,60483,2006
804,60483,2006
805,53745,2006
806,53745,2006
815,42596,2006
816,42596,2006
808,36834,2006
810,36834,2006
812,36834,2006
805,52543,2006
806,52543,2006
807,52543,2006
64,76671,2006
66,76671,2006
67,76671,2006
68,76671,2006
69,76671,2006
60,58666,2006
61,58666,2006
64,58666,2006
67,58666,2006
60,66664,2006
67,66664,2006
68,66664,2006
60,68739,2006
64,68739,2006
60,56840,2006
64,56840,2006
65,56840,2006
67,56840,2006
62,59719,2006
63,59719,2006
64,59719,2006
60,69862,2006
62,69862,2006
64,69862,2006
62,55013,2006
63,55013,2006
199,47722,2006
197,58043,2006
198,58043,2006
199,58043,2006
199,45876,2006
200,51847,2006
202,51847,2006
203,51847,2006
204,51847,2006
205,51847,2006
320,36899,2006
326,36899,2006
324,45098,2006
327,46335,2006
328,46335,2006
329,46335,2006
330,50499,2006
331,50499,2006
333,50499,2006
334,50499,2006
339,44166,2006
342,44166,2006
344,34973,2006
346,34973,2006
320,60450,2006
321,60450,2006
322,60450,2006
326,60450,2006
341,55888,2006
320,40834,2006
326,40834,2006
320,45756,2006
322,45756,2006
325,42535,2006
320,44461,2006
321,44461,2006
335,40347,2006
344,40347,2006
346,40347,2006
338,32894,2006
339,32894,2006
342,32894,2006
349,32894,2006
335,46766,2006
336,46766,2006
338,46766,2006
329,43685,2006
321,41871,2006
327,41871,2006
347,41871,2006
339,48553,2006
341,48553,2006
323,41516,2006
335,45272,2006
338,45272,2006
342,45272,2006
321,40062,2006
326,40062,2006
327,40062,2006
344,40062,2006
334,50939,2006
349,50939,2006
330,41237,2006
331,41237,2006
332,41237,2006
330,52069,2006
320,55925,2006
322,55925,2006
325,54422,2006
327,48986,2006
328,48986,2006
347,48986,2006
328,44951,2006
338,44951,2006
347,44951,2006
349,44951,2006
334,51677,2006
335,41939,2006
346,41939,2006
336,41945,2006
337,41945,2006
346,41945,2006
335,41150,2006
338,41150,2006
347,41150,2006
320,30771,2006
321,30771,2006
326,30771,2006
320,55715,2006
321,55715,2006
322,55715,2006
349,44974,2006
325,53086,2006
342,48416,2006
327,56757,2006
321,42949,2006
335,42949,2006
344,42949,2006
347,42949,2006
321,40881,2006
327,40881,2006
301,45894,2006
310,36459,2006
312,36459,2006
301,43138,2006
313,39910,2006
314,39910,2006
300,64416,2006
301,64416,2006
305,64416,2006
306,30574,2006
302,41968,2006
303,41968,2006
300,61682,2006
301,61682,2006
303,61682,2006
311,61682,2006
308,62695,2006
309,62695,2006
302,62680,2006
300,50373,2006
302,50373,2006
303,50373,2006
311,50373,2006
399,50373,2006
317,31183,2006
398,31183,2006
301,55860,2006
302,79969,2006
311,79969,2006
301,37882,2006
307,37882,2006
300,83682,2006
301,83682,2006
305,83682,2006
300,54755,2006
302,54755,2006
303,54755,2006
311,54755,2006
315,51244,2006
300,63189,2006
303,63189,2006
305,63189,2006
306,63189,2006
311,63189,2006
305,44668,2006
302,60559,2006
310,48604,2006
316,36282,2006
318,41164,2006
319,41164,2006
300,49616,2006
302,49616,2006
310,49616,2006
301,59009,2006
308,35062,2006
309,35062,2006
300,54579,2006
302,54579,2006
300,53152,2006
306,53152,2006
307,40375,2006
967,55390,2006
967,63372,2006
968,63372,2006
967,58771,2006
836,53868,2006
837,53868,2006
832,39774,2006
832,45325,2006
834,45325,2006
836,41804,2006
838,40346,2006
833,39389,2006
623,39227,2006
609,43290,2006
618,43290,2006
619,43290,2006
600,50691,2006
601,50691,2006
602,50691,2006
603,50691,2006
604,50691,2006
605,50691,2006
606,50691,2006
607,50691,2006
608,50691,2006
601,51055,2006
605,51055,2006
610,51055,2006
600,73677,2006
601,73677,2006
604,73677,2006
605,73677,2006
600,63741,2006
601,63741,2006
605,63741,2006
604,50507,2006
609,50507,2006
604,73069,2006
605,73069,2006
600,75170,2006
604,46670,2006
605,46670,2006
613,46670,2006
600,71945,2006
601,71945,2006
610,71945,2006
617,51035,2006
618,51035,2006
617,41009,2006
618,41009,2006
619,41009,2006
625,41009,2006
620,46847,2006
622,46847,2006
614,45691,2006
615,45691,2006
616,45691,2006
612,43635,2006
620,46643,2006
622,46643,2006
625,48430,2006
626,48430,2006
627,48430,2006
615,49698,2006
616,49698,2006
617,49698,2006
626,49698,2006
609,39318,2006
618,39318,2006
604,72816,2006
605,72816,2006
609,72816,2006
601,44776,2006
610,44776,2006
611,44776,2006
467,45630,2006
468,45630,2006
461,49838,2006
472,49838,2006
474,49838,2006
471,41719,2006
472,41719,2006
460,34516,2006
473,34516,2006
465,46710,2006
467,46710,2006
471,51213,2006
460,39219,2006
469,39219,2006
473,39219,2006
460,75410,2006
462,75410,2006
460,60815,2006
461,60815,2006
462,60815,2006
473,60815,2006
460,60891,2006
461,60891,2006
462,60891,2006
479,60891,2006
460,42055,2006
469,42055,2006
461,60977,2006
462,60977,2006
465,47352,2006
467,47352,2006
469,47352,2006
463,46436,2006
464,46436,2006
463,47043,2006
465,47043,2006
460,40990,2006
469,40990,2006
473,40990,2006
460,41947,2006
461,41947,2006
462,41947,2006
461,38264,2006
472,38264,2006
474,38264,2006
461,52352,2006
474,52352,2006
463,56710,2006
464,56710,2006
465,43691,2006
466,43691,2006
460,39365,2006
469,39365,2006
479,39365,2006
476,38787,2006
477,38787,2006
478,34815,2006
473,40183,2006
506,42111,2006
507,42111,2006
520,45419,2006
522,46018,2006
523,46018,2006
524,46018,2006
527,46018,2006
522,46190,2006
523,46190,2006
524,46190,2006
500,52418,2006
501,52418,2006
502,52418,2006
503,52418,2006
509,52418,2006
515,46788,2006
527,46127,2006
528,46127,2006
500,43326,2006
501,43326,2006
502,43326,2006
510,41475,2006
511,41475,2006
660,46857,2006
664,46857,2006
665,46857,2006
660,69817,2006
662,69817,2006
660,54627,2006
661,54627,2006
670,44588,2006
671,44588,2006
672,44588,2006
675,44588,2006
660,43436,2006
664,43436,2006
665,43436,2006
666,43436,2006
660,36660,2006
661,36660,2006
662,36660,2006
410,56477,2006
452,56477,2006
400,52147,2006
401,52147,2006
402,52147,2006
410,46020,2006
422,36757,2006
423,36757,2006
424,36757,2006
423,40936,2006
403,44211,2006
405,44211,2006
400,41263,2006
401,41263,2006
427,41263,2006
400,43355,2006
401,43355,2006
402,43355,2006
410,53978,2006
459,53978,2006
403,38117,2006
404,38117,2006
415,32600,2006
416,32600,2006
421,43507,2006
422,43507,2006
703,55602,2006
704,55602,2006
707,55602,2006
710,47344,2006
711,47344,2006
710,32509,2006
711,32509,2006
706,40046,2006
707,44286,2006
708,44286,2006
705,37819,2006
700,44958,2006
701,44958,2006
703,44958,2006
705,42195,2006
700,40633,2006
703,40633,2006
704,42339,2006
707,42339,2006
700,35859,2006
701,35859,2006
712,35252,2006
714,35252,2006
706,34965,2006
713,34965,2006
714,34965,2006
705,23119,2006
707,23119,2006
713,23119,2006
704,58976,2006
704,33075,2006
703,45258,2006
42,37945,2006
44,32642,2006
47,32642,2006
40,51520,2006
41,51520,2006
42,51520,2006
42,44758,2006
43,44758,2006
49,44758,2006
44,39244,2006
47,39244,2006
49,39244,2006
38,50943,2006
39,50943,2006
40,50943,2006
215,32984,2006
217,32984,2006
207,79160,2006
210,79160,2006
211,79160,2006
212,79160,2006
214,79160,2006
210,59995,2006
211,59995,2006
212,59995,2006
206,84891,2006
207,84891,2006
210,74106,2006
211,74106,2006
217,74106,2006
219,56509,2006
206,80179,2006
208,74029,2006
217,74029,2006
210,69549,2006
211,69549,2006
207,94260,2006
208,94260,2006
210,94260,2006
211,94260,2006
217,94260,2006
200,87624,2006
202,87624,2006
207,87624,2006
208,87624,2006
209,87624,2006
210,87624,2006
217,87624,2006
202,65851,2006
203,65851,2006
204,65851,2006
205,65851,2006
206,65851,2006
207,65851,2006
209,65851,2006
206,71158,2006
217,52349,2006
218,47540,2006
212,36031,2006
23,56974,2006
25,56974,2006
26,56974,2006
10,47562,2006
12,47562,2006
13,47562,2006
20,51769,2006
23,51769,2006
27,51769,2006
18,59575,2006
19,59575,2006
55,59575,2006
10,51871,2006
12,51871,2006
13,51871,2006
10,44765,2006
11,44765,2006
12,44765,2006
15,44765,2006
10,52349,2006
12,52349,2006
13,52349,2006
14,70954,2006
15,70954,2006
17,70954,2006
18,70954,2006
20,70954,2006
21,70954,2006
22,70954,2006
24,70954,2006
15,73339,2006
17,73339,2006
20,73339,2006
21,73339,2006
22,73339,2006
23,73339,2006
24,73339,2006
27,73339,2006
20,66807,2006
21,66807,2006
23,66807,2006
25,66807,2006
27,66807,2006
19,47694,2006
20,47694,2006
21,47694,2006
22,47694,2006
24,47694,2006
10,58984,2006
13,58984,2006
14,58984,2006
15,58984,2006
16,58984,2006
17,58984,2006
490,50558,2006
493,50558,2006
494,50558,2006
486,41774,2006
487,41774,2006
490,41875,2006
491,41875,2006
488,43421,2006
490,43421,2006
492,43421,2006
488,56637,2006
489,56637,2006
488,54153,2006
489,54153,2006
490,54153,2006
492,54153,2006
484,41778,2006
485,41778,2006
487,41778,2006
496,49305,2006
488,43135,2006
489,43135,2006
492,43135,2006
486,40126,2006
488,40126,2006
493,40126,2006
481,42912,2006
488,42912,2006
492,42912,2006
490,44237,2006
488,46826,2006
493,46826,2006
494,46826,2006
495,46826,2006
480,55287,2006
483,55287,2006
484,55287,2006
487,55287,2006
481,46901,2006
492,46901,2006
481,70629,2006
483,70629,2006
484,70629,2006
488,70629,2006
492,70629,2006
480,53477,2006
482,53477,2006
483,53477,2006
486,48360,2006
488,48360,2006
481,54444,2006
492,54444,2006
493,40883,2006
494,40883,2006
480,66483,2006
481,66483,2006
482,66483,2006
483,66483,2006
484,66483,2006
493,56576,2006
494,56576,2006
495,56576,2006
484,38362,2006
486,38362,2006
487,38362,2006
488,38362,2006
480,48354,2006
484,48354,2006
484,41813,2006
486,41813,2006
488,41813,2006
490,42360,2006
481,56817,2006
492,56817,2006
480,41784,2006
481,41784,2006
482,41784,2006
483,41784,2006
550,66315,2006
551,66315,2006
553,66315,2006
554,66315,2006
553,75856,2006
555,75856,2006
560,75856,2006
550,70502,2006
551,70502,2006
553,70502,2006
551,58272,2006
553,58272,2006
554,58272,2006
559,61124,2006
551,50777,2006
554,50777,2006
556,43078,2006
557,43078,2006
558,43078,2006
566,43078,2006
550,79262,2006
553,79262,2006
560,79262,2006
553,68008,2006
563,68008,2006
553,48803,2006
563,48803,2006
550,76380,2006
551,76380,2006
553,61861,2006
386,53139,2006
394,32104,2006
395,32104,2006
395,44015,2006
390,35801,2006
391,35801,2006
392,35801,2006
394,42816,2006
395,42816,2006
391,31550,2006
394,31550,2006
393,30401,2006
388,33213,2006
390,57346,2006
391,57346,2006
392,57346,2006
390,49527,2006
391,49527,2006
392,49527,2006
650,42163,2006
652,42163,2006
644,41048,2006
645,41048,2006
637,38403,2006
640,55223,2006
641,55223,2006
647,55223,2006
656,43360,2006
657,43360,2006
640,53448,2006
641,53448,2006
644,53448,2006
650,48203,2006
651,48203,2006
630,43554,2006
654,43554,2006
656,39582,2006
657,39582,2006
658,39582,2006
640,44211,2006
641,44211,2006
649,44211,2006
647,33729,2006
648,33729,2006
630,53434,2006
636,53434,2006
640,62402,2006
641,62402,2006
644,62402,2006
633,64567,2006
630,53186,2006
631,53186,2006
631,30936,2006
594,39887,2006
598,45920,2006
599,45920,2006
590,47532,2006
597,47532,2006
598,38168,2006
590,43377,2006
591,43377,2006
680,48898,2006
681,48898,2006
680,48564,2006
683,48564,2006
684,48564,2006
685,48564,2006
680,61961,2006
681,61961,2006
890,53536,2006
891,53536,2006
894,52297,2006
895,52297,2006
897,52297,2006
32,48692,2006
34,48692,2006
36,48692,2006
32,53501,2006
35,53501,2006
37,53501,2006
30,66382,2006
31,66382,2006
32,66382,2006
34,66382,2006
30,55072,2006
31,55072,2006
32,55072,2006
33,55072,2006
30,70781,2006
31,70781,2006
32,70781,2006
38,70781,2006
30,52612,2006
32,52612,2006
38,52612,2006
80,52230,2006
82,52230,2006
83,52230,2006
84,52230,2006
70,75851,2006
74,75851,2006
75,75851,2006
76,75851,2006
80,68090,2006
81,68090,2006
82,68090,2006
85,68090,2006
86,68090,2006
80,56913,2006
81,56913,2006
82,50024,2006
83,50024,2006
82,47443,2006
83,47443,2006
70,51879,2006
71,51879,2006
72,51879,2006
74,51879,2006
80,66759,2006
83,66759,2006
70,49557,2006
73,49557,2006
78,93297,2006
79,93297,2006
85,93297,2006
88,93297,2006
85,65305,2006
86,65305,2006
70,72669,2006
77,72669,2006
85,72669,2006
88,72669,2006
89,72669,2006
77,77160,2006
85,77160,2006
86,77160,2006
87,77160,2006
70,89587,2006
74,89587,2006
78,89587,2006
79,89587,2006
77,54820,2006
80,54820,2006
85,54820,2006
87,54820,2006
70,49940,2006
71,49940,2006
74,49940,2006
75,49940,2006
80,58164,2006
83,58164,2006
70,91688,2006
79,91688,2006
85,91688,2006
88,91688,2006
74,78488,2006
78,78488,2006
70,62260,2006
71,62260,2006
72,62260,2006
79,62260,2006
88,62260,2006
78,62087,2006
88,62087,2006
870,43717,2006
871,43717,2006
879,33952,2006
880,33952,2006
870,27261,2006
873,27261,2006
870,54747,2006
871,54747,2006
875,54747,2006
870,40517,2006
873,40517,2006
874,40517,2006
870,50437,2006
875,50437,2006
870,41753,2006
871,41753,2006
120,51042,2006
121,51042,2006
122,51042,2006
123,51042,2006
124,51042,2006
104,31494,2006
105,31494,2006
107,31494,2006
108,31494,2006
137,41545,2006
138,41545,2006
139,41545,2006
140,39066,2006
141,39066,2006
147,39066,2006
130,45139,2006
131,45139,2006
148,45139,2006
140,37950,2006
141,37950,2006
147,37950,2006
148,39683,2006
149,39683,2006
129,42406,2006
105,65965,2006
125,65965,2006
126,65965,2006
140,42494,2006
141,42494,2006
142,42494,2006
130,38195,2006
131,38195,2006
136,38195,2006
112,40393,2006
114,40393,2006
130,47841,2006
131,47841,2006
133,47841,2006
134,47841,2006
144,47339,2006
145,47339,2006
146,47339,2006
110,85994,2006
115,85994,2006
116,85994,2006
117,85994,2006
118,85994,2006
100,60017,2006
101,60017,2006
102,60017,2006
104,60017,2006
140,44197,2006
141,44197,2006
143,44197,2006
130,40466,2006
131,40466,2006
133,40466,2006
134,40466,2006
135,40466,2006
130,46060,2006
131,46060,2006
132,46060,2006
131,51237,2006
144,51237,2006
145,51237,2006
109,64947,2006
125,64947,2006
127,64947,2006
130,38264,2006
131,38264,2006
133,38264,2006
134,38264,2006
136,38264,2006
105,81907,2006
125,81907,2006
110,51190,2006
111,51190,2006
113,51190,2006
114,51190,2006
115,51190,2006
116,51190,2006
120,53016,2006
121,53016,2006
103,68620,2006
109,76710,2006
129,38566,2006
136,38566,2006
120,57374,2006
121,57374,2006
123,57374,2006
128,57374,2006
120,51584,2006
121,51584,2006
123,51584,2006
144,41541,2006
145,41541,2006
148,41541,2006
5,76847,2006
63,76847,2006
117,76847,2006
119,76847,2006
109,46789,2006
124,46789,2006
125,46789,2006
127,46789,2006
130,45534,2006
131,45534,2006
137,45534,2006
138,45534,2006
148,45534,2006
124,52725,2006
125,52725,2006
127,52725,2006
128,46410,2006
131,47607,2006
144,47607,2006
145,47607,2006
104,75472,2006
105,75472,2006
106,75472,2006
107,75472,2006
108,75472,2006
272,40934,2006
273,40934,2006
284,46520,2006
287,41735,2006
288,41735,2006
280,37677,2006
281,37677,2006
286,37677,2006
287,37677,2006
280,49562,2006
281,49562,2006
282,49562,2006
286,34052,2006
280,42349,2006
281,42349,2006
286,42349,2006
280,36582,2006
281,36582,2006
286,36582,2006
285,42320,2006
283,41162,2006
270,43868,2006
271,43868,2006
272,43868,2006
273,43868,2006
281,43868,2006
272,46636,2006
275,46636,2006
276,46636,2006
277,46636,2006
270,45792,2006
271,45792,2006
272,45792,2006
273,45792,2006
280,42410,2006
281,42410,2006
272,43892,2006
273,43892,2006
274,43892,2006
273,40943,2006
275,40943,2006
283,40943,2006
287,41573,2006
270,43307,2006
280,43307,2006
281,43307,2006
286,43307,2006
275,46555,2006
276,46555,2006
278,46555,2006
283,46555,2006
280,38433,2006
281,38433,2006
286,38433,2006
280,51945,2006
281,51945,2006
282,51945,2006
272,43616,2006
273,43616,2006
283,43616,2006
275,41031,2006
278,41031,2006
284,43031,2006
284,38991,2006
285,38991,2006
272,46114,2006
273,46114,2006
275,46114,2006
277,46114,2006
278,36782,2006
285,36782,2006
272,38563,2006
273,38563,2006
283,26646,2006
270,36840,2006
272,36840,2006
273,36840,2006
270,42863,2006
280,42863,2006
281,42863,2006
286,42863,2006
270,35215,2006
286,35215,2006
280,59125,2006
281,59125,2006
282,59125,2006
275,60903,2006
276,60903,2006
277,60903,2006
275,38158,2006
278,38158,2006
283,38158,2006
285,38158,2006
270,32453,2006
286,32453,2006
275,37023,2006
278,37023,2006
584,48941,2006
585,48941,2006
580,46522,2006
581,46522,2006
582,39715,2006
458,44100,2006
440,37628,2006
444,37628,2006
437,37760,2006
439,37760,2006
450,53278,2006
452,53278,2006
453,53278,2006
430,42546,2006
431,42546,2006
453,42546,2006
455,42546,2006
451,52279,2006
452,52279,2006
439,37791,2006
444,37791,2006
446,37791,2006
440,41522,2006
441,41522,2006
442,41522,2006
430,79173,2006
432,79173,2006
433,79173,2006
434,45549,2006
440,45549,2006
448,45549,2006
430,55113,2006
431,55113,2006
430,45803,2006
431,45803,2006
432,45803,2006
440,61120,2006
442,61120,2006
444,61120,2006
431,55895,2006
450,55895,2006
451,55895,2006
453,55895,2006
454,55895,2006
450,44652,2006
451,44652,2006
452,44652,2006
433,44433,2006
435,44433,2006
448,44433,2006
458,44433,2006
439,31741,2006
440,51322,2006
441,51322,2006
430,50386,2006
431,50386,2006
437,50386,2006
438,50386,2006
440,48838,2006
442,48838,2006
448,48838,2006
434,42296,2006
435,42296,2006
436,42296,2006
444,38393,2006
445,38393,2006
446,38393,2006
433,39585,2006
448,39585,2006
440,64579,2006
442,64579,2006
443,64579,2006
448,64579,2006
453,49086,2006
454,49086,2006
450,41161,2006
453,41161,2006
454,41161,2006
430,36047,2006
437,36047,2006
438,36047,2006
442,43840,2006
443,43840,2006
444,43840,2006
446,43840,2006
430,38393,2006
448,38393,2006
449,38393,2006
431,37054,2006
451,37054,2006
456,37054,2006
456,29821,2006
442,42332,2006
446,42332,2006
447,42332,2006
440,44747,2006
441,44747,2006
442,44747,2006
443,44747,2006
446,44747,2006
447,44747,2006
440,42344,2006
442,42344,2006
444,42344,2006
445,42344,2006
437,37560,2006
438,37560,2006
446,37560,2006
450,66834,2006
451,66834,2006
452,66834,2006
453,66834,2006
454,66834,2006
442,45271,2006
446,45271,2006
448,45271,2006
434,51442,2006
435,51442,2006
