ZIP_3_DIGIT,popcount,year
364,169162,2006
365,169162,2006
350,112903,2006
359,112903,2006
362,112903,2006
350,80187,2006
351,80187,2006
355,80187,2006
356,80187,2006
359,80187,2006
357,68014,2006
359,68014,2006
350,75688,2006
351,75688,2006
360,75688,2006
351,103362,2006
359,103362,2006
362,103362,2006
363,95660,2006
350,656700,2006
351,656700,2006
352,656700,2006
354,656700,2006
356,87891,2006
368,125781,2006
356,72446,2006
357,72446,2006
357,304307,2006
358,304307,2006
350,87185,2006
351,87185,2006
357,87185,2006
359,87185,2006
365,404157,2006
366,404157,2006
360,223571,2006
361,223571,2006
350,115237,2006
351,115237,2006
356,115237,2006
357,115237,2006
350,65096,2006
351,65096,2006
359,65096,2006
350,178182,2006
351,178182,2006
352,178182,2006
350,80271,2006
351,80271,2006
362,80271,2006
350,171159,2006
351,171159,2006
354,171159,2006
355,171159,2006
350,70034,2006
351,70034,2006
355,70034,2006
995,278700,2006
997,86754,2006
996,80480,2006
859,71118,2006
860,71118,2006
865,71118,2006
856,127757,2006
859,124953,2006
860,124953,2006
863,124953,2006
864,124953,2006
850,3768123,2006
851,3768123,2006
852,3768123,2006
853,3768123,2006
855,3768123,2006
853,193035,2006
860,193035,2006
864,193035,2006
859,111399,2006
860,111399,2006
865,111399,2006
853,946362,2006
856,946362,2006
857,946362,2006
851,271059,2006
852,271059,2006
855,271059,2006
856,271059,2006
857,271059,2006
853,208014,2006
860,208014,2006
863,208014,2006
853,187555,2006
727,196045,2006
724,88244,2006
720,100685,2006
721,100685,2006
719,95164,2006
720,95164,2006
721,95164,2006
716,80655,2006
720,80655,2006
721,80655,2006
720,367319,2006
721,367319,2006
722,367319,2006
719,94024,2006
720,94024,2006
721,94024,2006
722,94024,2006
729,120322,2006
727,186521,2006
729,186521,2006
720,72560,2006
721,72560,2006
725,72560,2006
945,1457426,2006
946,1457426,2006
947,1457426,2006
950,1457426,2006
953,1457426,2006
959,215881,2006
945,1024319,2006
946,1024319,2006
947,1024319,2006
948,1024319,2006
956,178066,2006
957,178066,2006
961,178066,2006
932,891756,2006
936,891756,2006
937,891756,2006
938,891756,2006
955,128330,2006
922,160301,2006
932,780117,2006
933,780117,2006
934,780117,2006
935,780117,2006
932,146153,2006
936,146153,2006
954,65933,2006
900,9948081,2006
902,9948081,2006
903,9948081,2006
904,9948081,2006
905,9948081,2006
906,9948081,2006
907,9948081,2006
908,9948081,2006
910,9948081,2006
911,9948081,2006
912,9948081,2006
913,9948081,2006
914,9948081,2006
915,9948081,2006
916,9948081,2006
917,9948081,2006
918,9948081,2006
930,9948081,2006
932,9948081,2006
935,9948081,2006
936,146345,2006
949,248742,2006
954,88109,2006
955,88109,2006
936,245658,2006
953,245658,2006
934,410206,2006
939,410206,2006
950,410206,2006
945,133522,2006
954,133522,2006
956,98764,2006
957,98764,2006
959,98764,2006
961,98764,2006
906,3002048,2006
907,3002048,2006
908,3002048,2006
926,3002048,2006
927,3002048,2006
928,3002048,2006
956,326242,2006
957,326242,2006
959,326242,2006
961,326242,2006
917,2026803,2006
920,2026803,2006
922,2026803,2006
923,2026803,2006
925,2026803,2006
928,2026803,2006
945,1374724,2006
956,1374724,2006
957,1374724,2006
958,1374724,2006
917,1999332,2006
922,1999332,2006
923,1999332,2006
924,1999332,2006
925,1999332,2006
928,1999332,2006
935,1999332,2006
919,2941454,2006
920,2941454,2006
921,2941454,2006
925,2941454,2006
926,2941454,2006
940,744041,2006
941,744041,2006
952,673170,2006
953,673170,2006
956,673170,2006
934,257005,2006
940,705499,2006
941,705499,2006
943,705499,2006
944,705499,2006
930,400335,2006
931,400335,2006
932,400335,2006
934,400335,2006
940,1731281,2006
