ZIP_3_DIGIT,tert_medhhinc,year
364,1,2006
365,1,2006
350,0,2006
359,0,2006
362,0,2006
351,0,2006
355,0,2006
356,0,2006
357,0,2006
350,1,2006
351,1,2006
360,1,2006
363,0,2006
352,0,2006
354,0,2006
368,0,2006
357,1,2006
358,1,2006
365,0,2006
366,0,2006
360,0,2006
361,0,2006
359,1,2006
350,2,2006
351,2,2006
352,2,2006
995,2,2006
997,2,2006
996,2,2006
859,0,2006
860,0,2006
865,0,2006
856,0,2006
863,0,2006
864,0,2006
850,1,2006
851,1,2006
852,1,2006
853,1,2006
855,1,2006
853,0,2006
857,0,2006
851,0,2006
852,0,2006
855,0,2006
727,1,2006
724,0,2006
720,0,2006
721,0,2006
719,0,2006
716,0,2006
722,0,2006
719,1,2006
720,1,2006
721,1,2006
722,1,2006
729,0,2006
727,0,2006
725,0,2006
945,2,2006
946,2,2006
947,2,2006
950,2,2006
953,2,2006
959,0,2006
948,2,2006
956,2,2006
957,2,2006
961,2,2006
932,0,2006
936,0,2006
937,0,2006
938,0,2006
955,0,2006
922,0,2006
933,0,2006
934,0,2006
935,0,2006
954,0,2006
900,1,2006
902,1,2006
903,1,2006
904,1,2006
905,1,2006
906,1,2006
907,1,2006
908,1,2006
910,1,2006
911,1,2006
912,1,2006
913,1,2006
914,1,2006
915,1,2006
916,1,2006
917,1,2006
918,1,2006
930,1,2006
932,1,2006
935,1,2006
949,2,2006
953,0,2006
934,2,2006
939,2,2006
954,2,2006
956,1,2006
957,1,2006
959,1,2006
961,1,2006
906,2,2006
907,2,2006
908,2,2006
926,2,2006
927,2,2006
928,2,2006
959,2,2006
917,2,2006
920,2,2006
922,2,2006
923,2,2006
925,2,2006
958,2,2006
922,1,2006
923,1,2006
924,1,2006
925,1,2006
928,1,2006
919,2,2006
921,2,2006
940,2,2006
941,2,2006
952,1,2006
953,1,2006
934,1,2006
943,2,2006
944,2,2006
930,2,2006
931,2,2006
932,2,2006
951,2,2006
960,0,2006
958,1,2006
902,2,2006
913,2,2006
956,0,2006
800,1,2006
801,1,2006
802,1,2006
806,1,2006
807,1,2006
800,2,2006
801,2,2006
802,2,2006
803,2,2006
804,2,2006
805,2,2006
800,0,2006
801,0,2006
802,0,2006
808,1,2006
809,1,2006
810,1,2006
806,2,2006
815,0,2006
816,0,2006
808,0,2006
810,0,2006
812,0,2006
805,1,2006
64,2,2006
66,2,2006
67,2,2006
68,2,2006
69,2,2006
60,2,2006
61,2,2006
65,2,2006
62,2,2006
63,2,2006
199,1,2006
197,2,2006
198,2,2006
199,2,2006
200,1,2006
202,1,2006
203,1,2006
204,1,2006
205,1,2006
320,0,2006
326,0,2006
324,1,2006
327,1,2006
328,1,2006
329,1,2006
330,1,2006
331,1,2006
333,1,2006
334,1,2006
339,0,2006
342,0,2006
344,0,2006
346,0,2006
320,2,2006
321,2,2006
322,2,2006
326,2,2006
341,2,2006
320,1,2006
322,1,2006
325,0,2006
321,0,2006
335,0,2006
338,0,2006
349,0,2006
335,1,2006
336,1,2006
338,1,2006
329,0,2006
327,0,2006
347,0,2006
339,1,2006
341,1,2006
323,0,2006
342,1,2006
349,1,2006
330,0,2006
331,0,2006
332,0,2006
325,2,2006
347,1,2006
336,0,2006
337,0,2006
325,1,2006
327,2,2006
301,1,2006
310,0,2006
312,0,2006
301,0,2006
313,0,2006
314,0,2006
300,2,2006
301,2,2006
305,2,2006
306,0,2006
302,0,2006
303,0,2006
303,2,2006
311,2,2006
308,2,2006
309,2,2006
302,2,2006
300,1,2006
302,1,2006
303,1,2006
311,1,2006
399,1,2006
317,0,2006
398,0,2006
307,0,2006
315,1,2006
306,2,2006
305,1,2006
310,1,2006
316,0,2006
318,0,2006
319,0,2006
308,0,2006
309,0,2006
306,1,2006
967,2,2006
968,2,2006
836,2,2006
837,2,2006
832,0,2006
832,1,2006
834,1,2006
836,0,2006
838,0,2006
833,0,2006
623,0,2006
609,0,2006
618,0,2006
619,0,2006
600,1,2006
601,1,2006
602,1,2006
603,1,2006
604,1,2006
605,1,2006
606,1,2006
607,1,2006
608,1,2006
610,1,2006
600,2,2006
601,2,2006
604,2,2006
605,2,2006
609,1,2006
613,1,2006
610,2,2006
617,1,2006
618,1,2006
617,0,2006
625,0,2006
620,1,2006
622,1,2006
614,1,2006
615,1,2006
616,1,2006
612,0,2006
625,1,2006
626,1,2006
627,1,2006
609,2,2006
611,1,2006
467,1,2006
468,1,2006
461,1,2006
472,1,2006
474,1,2006
471,0,2006
472,0,2006
460,0,2006
473,0,2006
465,1,2006
471,1,2006
469,0,2006
460,2,2006
462,2,2006
461,2,2006
473,2,2006
479,2,2006
469,1,2006
463,1,2006
464,1,2006
461,0,2006
462,0,2006
474,0,2006
463,2,2006
464,2,2006
465,0,2006
466,0,2006
479,0,2006
