product_module_code,product_module_descr,product_group_code,product_group_descr,beverage_category
1487,WATER-BOTTLED,1508,SOFT DRINKS-NON-CARBONATED,BOTTLED WATER
1030,FRUIT DRINKS & JUICES-CRANBERRY,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1031,CIDER,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1032,FRUIT JUICE - GRAPEFRUIT - OTHER CONTAINERS,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1033,FRUIT JUICE - APPLE,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1034,FRUIT JUICE - GRAPE,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1035,FRUIT JUICE-GRAPEFRUIT-CANNED,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1036,FRUIT JUICE - LEMON/LIME,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1037,FRUIT JUICE-ORANGE-CANNED,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1038,FRUIT JUICE - PINEAPPLE,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1039,FRUIT JUICE-PRUNE,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1040,FRUIT JUICE - ORANGE - OTHER CONTAINER,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1041,FRUIT DRINKS-CANNED,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1042,FRUIT DRINKS-OTHER CONTAINER,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1044,FRUIT JUICE-REMAINING,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1045,FRUIT JUICE-NECTARS,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1054,VEGETABLE JUICE - TOMATO,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1055,VEGETABLE JUICE AND DRINK REMAINING,507,"JUICE, DRINKS - CANNED, BOTTLED",FRUIT JUICE AND FRUIT DRINKS
1553,SOFT DRINKS - LOW CALORIE,1503,CARBONATED BEVERAGES,LOW-CALORIE CARBONATED
1484,SOFT DRINKS - CARBONATED,1503,CARBONATED BEVERAGES,REGULAR CARBONATED
