store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_all
273,199,10,DE,1,KENT,1,1,1,1,1,1,1,1,1,1,10
666,501,19,IA,127,MARSHALL,1,1,1,1,1,1,1,1,1,1,10
884,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
1069,461,18,IN,97,MARION,1,1,1,1,1,1,1,1,1,1,10
1086,786,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
1123,441,39,OH,35,CUYAHOGA,1,1,1,1,1,1,1,0,0,0,7
1852,165,42,PA,49,ERIE,1,1,1,1,1,1,1,1,1,1,10
1875,29,44,RI,7,PROVIDENCE,1,1,1,1,1,1,1,1,1,1,10
2324,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
2681,442,39,OH,153,SUMMIT,1,1,1,1,1,1,1,1,1,1,10
3456,146,36,NY,55,MONROE,1,1,1,1,1,1,1,1,1,1,10
3487,154,42,PA,51,FAYETTE,1,1,1,1,1,1,1,1,1,1,10
4293,126,36,NY,27,DUTCHESS,1,1,1,1,1,1,1,1,1,1,10
4455,782,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
4696,233,51,VA,550,CHESAPEAKE,1,1,1,1,1,1,1,1,1,1,10
4809,100,36,NY,61,NEW YORK,1,1,1,1,1,1,1,1,0,0,8
4954,100,36,NY,61,NEW YORK,1,1,1,1,1,1,1,1,1,1,10
5502,129,36,NY,33,FRANKLIN,1,1,1,1,1,1,1,1,1,1,10
5593,600,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
5810,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,1,1,10
5905,453,39,OH,109,MIAMI,1,1,1,1,1,1,1,1,1,1,10
6308,631,29,MO,510,ST LOUIS CTY,1,1,1,1,1,1,1,1,1,1,10
6566,100,36,NY,61,NEW YORK,1,1,1,1,1,1,1,1,1,1,10
7757,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,1,1,10
7920,443,39,OH,153,SUMMIT,1,1,1,1,1,1,1,1,1,1,10
8015,503,19,IA,153,POLK,1,1,1,1,1,1,1,1,1,1,10
8323,488,26,MI,67,IONIA,1,1,1,1,1,1,1,1,1,1,10
8563,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,0,0,8
8667,483,26,MI,99,MACOMB,1,1,1,1,1,1,1,1,1,0,9
8726,488,26,MI,73,ISABELLA,1,1,1,1,1,1,1,1,1,1,10
8772,301,13,GA,67,COBB,1,1,1,1,1,1,1,1,1,1,10
8839,857,4,AZ,19,PIMA,1,1,1,1,1,1,1,1,1,1,10
9020,604,17,IL,31,COOK,1,1,1,1,1,1,1,1,0,0,8
9053,421,21,KY,9,BARREN,1,1,1,1,1,1,1,1,1,1,10
9146,797,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
9369,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,1,1,10
9423,604,17,IL,31,COOK,1,1,1,1,1,1,1,0,0,0,7
9532,750,48,TX,181,GRAYSON,1,1,1,1,1,1,0,0,0,0,6
9772,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,1,1,10
10175,782,48,TX,29,BEXAR,1,1,1,1,1,1,1,1,1,1,10
10338,12,25,MA,3,BERKSHIRE,1,1,1,1,1,1,1,1,1,1,10
10560,606,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
10583,473,18,IN,177,WAYNE,1,1,1,1,1,1,1,1,1,1,10
10741,731,40,OK,109,OKLAHOMA,1,1,1,1,1,1,1,1,1,1,10
10959,466,18,IN,141,ST JOSEPH,1,1,1,1,1,1,0,0,0,0,6
11144,440,39,OH,55,GEAUGA,1,1,1,1,1,1,1,1,1,1,10
11547,14,25,MA,17,MIDDLESEX,1,1,1,1,1,1,1,1,1,1,10
11671,853,4,AZ,27,YUMA,1,1,1,1,1,1,1,1,1,1,10
11950,198,10,DE,3,NEW CASTLE,1,1,1,1,1,1,1,1,1,1,10
12063,850,4,AZ,13,MARICOPA,1,1,1,1,1,1,1,1,1,1,10
12168,461,18,IN,133,PUTNAM,1,1,1,1,1,1,1,1,1,1,10
