store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
273,199,0,0,1,1,1,1,1,1,1,1,8
666,501,1,1,1,1,1,1,1,1,1,1,10
884,606,1,1,1,1,1,1,1,1,1,1,10
1069,461,1,1,1,1,1,1,1,1,1,1,10
1852,165,1,1,1,1,1,1,1,1,1,1,10
1875,29,1,1,1,1,1,1,1,1,1,1,10
2324,606,1,1,1,1,1,1,1,1,1,1,10
2681,442,1,1,1,1,1,1,1,1,1,1,10
3456,146,1,1,1,1,1,1,1,1,1,1,10
3487,154,1,1,1,1,1,1,1,1,1,1,10
4293,126,1,1,1,1,1,1,1,1,1,1,10
4696,233,1,1,1,1,1,1,1,1,1,1,10
4954,100,1,1,1,1,1,1,1,1,1,1,10
5502,129,1,1,1,1,1,1,1,1,1,1,10
5593,600,1,1,1,1,1,1,1,1,1,1,10
5810,782,0,0,0,1,1,1,1,1,1,1,7
5905,453,1,1,1,1,1,1,1,1,1,1,10
6308,631,1,1,1,1,1,1,1,1,1,1,10
6566,100,1,1,1,1,1,1,1,1,1,1,10
7757,782,1,1,1,1,1,1,1,1,1,1,10
7920,443,1,1,1,1,1,1,1,1,1,1,10
8015,503,0,1,1,1,1,1,1,1,1,1,9
8323,488,1,1,1,1,1,1,1,1,1,1,10
8726,488,1,1,1,1,1,1,1,1,1,1,10
8772,301,1,1,1,1,1,1,1,1,1,1,10
8839,857,1,1,1,1,1,1,1,1,1,1,10
9053,421,0,0,1,1,1,1,1,1,1,1,8
9369,782,1,1,1,1,1,1,1,1,1,1,10
9772,782,1,1,1,1,1,1,1,1,1,1,10
10175,782,1,1,1,1,1,1,1,1,1,1,10
10338,12,1,1,1,1,1,1,1,1,1,1,10
10560,606,1,1,1,1,1,1,1,1,1,1,10
10583,473,1,1,1,1,1,1,1,1,1,1,10
10741,731,1,1,1,1,1,1,1,1,1,1,10
11144,440,1,1,1,1,1,1,1,1,1,1,10
11547,14,1,1,1,1,1,1,1,1,1,1,10
11671,853,0,0,0,0,0,1,1,1,1,1,5
11950,198,1,1,1,1,1,1,1,1,1,1,10
12063,850,1,1,1,1,1,1,1,1,1,1,10
12168,461,1,1,1,1,1,1,1,1,1,1,10
12353,27,1,1,1,1,1,1,1,1,1,1,10
12493,10,1,1,1,1,1,1,1,1,1,1,10
12869,23,1,1,1,1,1,1,1,1,1,1,10
13965,481,1,1,1,1,1,1,1,1,1,1,10
14368,797,1,1,1,1,1,1,1,1,1,1,10
14771,481,1,1,1,1,1,1,1,1,1,1,10
14981,321,0,0,0,0,1,1,1,1,1,1,6
15577,14,1,1,1,1,1,1,1,1,1,1,10
15794,317,1,1,1,1,1,1,1,1,1,1,10
15822,408,1,1,1,1,1,1,1,1,1,1,10
15994,476,0,0,1,1,1,1,1,1,1,1,8
16161,932,1,1,1,1,1,1,1,1,1,1,10
16410,111,1,1,1,1,1,1,1,1,1,1,10
16605,194,1,1,1,1,1,1,1,1,1,1,10
16786,15,1,1,1,1,1,1,1,1,1,1,10
17189,143,1,1,1,1,1,1,1,1,1,1,10
17216,100,1,1,1,1,1,1,1,1,1,1,10
