store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,years_all,years_drink
273,199,10,DE,1,KENT,1,0
666,501,19,IA,127,MARSHALL,1,1
884,606,17,IL,31,COOK,1,1
1069,461,18,IN,97,MARION,1,1
1086,786,0,0,0,0,0,0
1123,441,39,OH,35,CUYAHOGA,0,0
1852,165,42,PA,49,ERIE,1,1
1875,29,44,RI,7,PROVIDENCE,1,1
2324,606,17,IL,31,COOK,1,1
2681,442,39,OH,153,SUMMIT,1,1
3456,146,36,NY,55,MONROE,1,1
3487,154,42,PA,51,FAYETTE,1,1
4293,126,36,NY,27,DUTCHESS,1,1
4455,782,0,0,0,0,0,0
4696,233,51,VA,550,CHESAPEAKE,1,1
4809,100,36,NY,61,NEW YORK,0,0
4954,100,36,NY,61,NEW YORK,1,1
5502,129,36,NY,33,FRANKLIN,1,1
5593,600,17,IL,31,COOK,1,1
5810,782,48,TX,29,BEXAR,1,0
5905,453,39,OH,109,MIAMI,1,1
6308,631,29,MO,510,ST LOUIS CTY,1,1
6566,100,36,NY,61,NEW YORK,1,1
7757,782,48,TX,29,BEXAR,1,1
7920,443,39,OH,153,SUMMIT,1,1
8015,503,19,IA,153,POLK,1,0
8323,488,26,MI,67,IONIA,1,1
8563,782,48,TX,29,BEXAR,0,0
8667,483,26,MI,99,MACOMB,0,0
8726,488,26,MI,73,ISABELLA,1,1
8772,301,13,GA,67,COBB,1,1
8839,857,4,AZ,19,PIMA,1,1
9020,604,17,IL,31,COOK,0,0
9053,421,21,KY,9,BARREN,1,0
9146,797,0,0,0,0,0,0
9369,782,48,TX,29,BEXAR,1,1
9423,604,17,IL,31,COOK,0,0
9532,750,48,TX,181,GRAYSON,0,0
9772,782,48,TX,29,BEXAR,1,1
10175,782,48,TX,29,BEXAR,1,1
10338,12,25,MA,3,BERKSHIRE,1,1
10560,606,17,IL,31,COOK,1,1
10583,473,18,IN,177,WAYNE,1,1
10741,731,40,OK,109,OKLAHOMA,1,1
10959,466,18,IN,141,ST JOSEPH,0,0
11144,440,39,OH,55,GEAUGA,1,1
11547,14,25,MA,17,MIDDLESEX,1,1
11671,853,4,AZ,27,YUMA,1,0
11950,198,10,DE,3,NEW CASTLE,1,1
12063,850,4,AZ,13,MARICOPA,1,1
12168,461,18,IN,133,PUTNAM,1,1
12353,27,25,MA,5,BRISTOL,1,1
12493,10,25,MA,13,HAMPDEN,1,1
12869,23,25,MA,23,PLYMOUTH,1,1
13014,100,36,NY,61,NEW YORK,0,0
13300,300,13,GA,89,DE KALB,0,0
13562,465,18,IN,85,KOSCIUSKO,0,0
13653,705,22,LA,55,LAFAYETTE,0,0
13965,481,26,MI,161,WASHTENAW,1,1
14368,797,48,TX,329,MIDLAND,1,1
14771,481,26,MI,115,MONROE,1,1
14981,321,12,FL,35,FLAGLER,1,0
15577,14,25,MA,27,WORCESTER,1,1
15794,317,13,GA,95,DOUGHERTY,1,1
15822,408,21,KY,95,HARLAN,1,1
15994,476,18,IN,51,GIBSON,1,0
16161,932,6,CA,31,KINGS,1,1
16410,111,36,NY,81,QUEENS,1,1
16605,194,42,PA,91,MONTGOMERY,1,1
16786,15,25,MA,27,WORCESTER,1,1
16813,109,36,NY,87,ROCKLAND,0,0
17189,143,36,NY,63,NIAGARA,1,1
17216,100,36,NY,61,NEW YORK,1,1
17330,347,12,FL,97,OSCEOLA,0,0
17683,986,53,WA,11,CLARK,1,1
17896,610,17,IL,7,BOONE,0,0
17956,712,22,LA,123,W CARROLL,1,0
17977,281,37,NC,159,ROWAN,1,1
17995,324,12,FL,13,CALHOUN,1,1
18073,18,25,MA,17,MIDDLESEX,1,0
18086,986,53,WA,15,COWLITZ,1,1
18412,74,34,NJ,37,SUSSEX,0,0
18783,275,37,NC,85,HARNETT,1,1
18801,762,48,TX,97,COOKE,1,1
18896,27,25,MA,5,BRISTOL,1,1
18942,339,12,FL,71,LEE,0,0
18963,750,0,0,0,0,0,0
19251,956,6,CA,61,PLACER,1,0
19698,89,34,NJ,23,MIDDLESEX,1,1
19852,415,21,KY,195,PIKE,1,1
19906,750,48,TX,113,DALLAS,1,1
19978,954,6,CA,97,SONOMA,1,1
20010,442,39,OH,169,WAYNE,1,1
20712,750,48,TX,85,COLLIN,1,1
20947,770,48,TX,201,HARRIS,1,1
21219,14,25,MA,27,WORCESTER,1,1
21590,954,6,CA,97,SONOMA,1,1
21867,420,21,KY,7,BALLARD,0,0
21916,604,17,IL,31,COOK,1,1
21935,280,37,NC,25,CABARRUS,1,1
21966,79,34,NJ,27,MORRIS,1,1
21993,954,6,CA,97,SONOMA,1,1
22428,310,13,GA,169,JONES,0,0
22445,837,0,0,0,0,0,0
22696,328,12,FL,95,ORANGE,1,0
22741,283,37,NC,51,CUMBERLAND,1,1
22808,165,42,PA,49,ERIE,0,0
23261,120,36,NY,57,MONTGOMERY,1,1
23289,201,51,VA,107,LOUDOUN,0,0
23374,10,25,MA,13,HAMPDEN,0,0
23605,954,6,CA,97,SONOMA,1,1
23637,436,39,OH,95,LUCAS,1,1
24013,870,35,NM,61,VALENCIA,1,1
24027,710,22,LA,17,CADDO,1,1
24180,10,25,MA,13,HAMPDEN,1,1
24470,511,19,IA,193,WOODBURY,1,1
24846,386,28,MS,33,DE SOTO,0,0
25191,435,39,OH,173,WOOD,1,1
25249,675,20,KS,155,RENO,1,1
25295,756,48,TX,183,GREGG,1,1
25517,342,12,FL,115,SARASOTA,1,0
25652,382,47,TN,183,WEAKLEY,0,0
25679,18,25,MA,17,MIDDLESEX,0,0
25897,331,12,FL,86,MIAMI-DADE,0,0
25997,193,42,PA,45,DELAWARE,1,0
26458,432,39,OH,49,FRANKLIN,1,1
26549,281,37,NC,97,IREDELL,1,1
26679,47,0,0,0,0,0,0
26861,775,48,TX,39,BRAZORIA,1,1
26992,770,48,TX,201,HARRIS,1,1
27229,331,12,FL,86,MIAMI-DADE,1,0
27396,500,19,IA,153,POLK,1,1
27492,471,18,IN,143,SCOTT,1,1
27558,604,17,IL,31,COOK,1,1
27667,109,36,NY,87,ROCKLAND,1,1
27726,207,24,MD,33,PRNC GEORGES,1,1
28117,551,27,MN,37,DAKOTA,1,0
28473,493,26,MI,107,MECOSTA,1,1
28532,291,45,SC,39,FAIRFIELD,0,0
28694,186,0,0,0,0,0,0
28741,334,12,FL,99,PALM BEACH,1,0
28779,118,36,NY,59,NASSAU,1,0
28818,285,37,NC,147,PITT,1,0
28967,296,45,SC,45,GREENVILLE,0,0
29036,788,48,TX,323,MAVERICK,1,0
29220,980,53,WA,33,KING,1,1
29247,954,6,CA,97,SONOMA,1,1
29441,797,0,0,0,0,0,0
29623,980,53,WA,33,KING,1,1
29682,496,26,MI,165,WEXFORD,1,1
29995,741,40,OK,143,TULSA,1,0
30050,326,12,FL,1,ALACHUA,1,0
30131,633,29,MO,183,ST CHARLES,1,1
30709,62,0,0,0,0,0,0
30891,128,36,NY,115,WASHINGTON,0,0
31063,482,26,MI,163,WAYNE,1,1
31159,327,12,FL,9,BREVARD,1,0
31294,378,47,TN,25,CLAIBORNE,1,1
31430,13,25,MA,11,FRANKLIN,1,1
31697,456,39,OH,53,GALLIA,0,0
32136,913,6,CA,111,VENTURA,0,0
32503,770,48,TX,201,HARRIS,1,1
32848,442,39,OH,153,SUMMIT,1,1
32906,775,48,TX,201,HARRIS,1,1
33933,613,0,0,0,0,0,0
34518,18,25,MA,9,ESSEX,1,1
34545,321,12,FL,127,VOLUSIA,1,1
34739,293,0,0,0,0,0,0
34886,344,12,FL,83,MARION,1,0
35142,285,0,0,0,0,0,0
35324,226,51,VA,171,SHENANDOAH,1,1
35754,322,12,FL,31,DUVAL,1,1
36130,60,9,CT,3,HARTFORD,1,1
36261,770,48,TX,201,HARRIS,0,0
36351,291,0,0,0,0,0,0
36754,294,0,0,0,0,0,0
36936,128,36,NY,115,WASHINGTON,1,1
36953,844,0,0,0,0,0,0
37076,10,25,MA,13,HAMPDEN,1,1
37086,853,4,AZ,13,MARICOPA,1,1
37339,64,9,CT,9,NEW HAVEN,1,1
37566,163,42,PA,39,CRAWFORD,1,1
37882,10,25,MA,27,WORCESTER,1,1
38444,372,47,TN,37,DAVIDSON,1,1
38916,301,13,GA,97,DOUGLAS,1,0
38951,622,17,IL,163,SAINT CLAIR,1,1
38997,484,26,MI,49,GENESEE,1,1
39046,922,6,CA,25,IMPERIAL,0,0
39381,321,12,FL,127,VOLUSIA,1,1
39575,317,0,0,0,0,0,0
39725,954,6,CA,97,SONOMA,1,1
39734,166,42,PA,13,BLAIR,0,0
39978,228,0,0,0,0,0,0
40160,797,48,TX,135,ECTOR,1,1
40187,321,12,FL,127,VOLUSIA,0,0
40381,278,0,0,0,0,0,0
40405,700,22,LA,51,JEFFERSON,1,1
40504,898,32,NV,7,ELKO,1,0
40541,286,37,NC,193,WILKES,1,1
40563,60,9,CT,3,HARTFORD,1,1
40572,29,44,RI,7,PROVIDENCE,1,1
40966,253,54,WV,39,KANAWHA,1,1
41187,304,0,0,0,0,0,0
41347,217,24,MD,27,HOWARD,1,1
41482,601,17,IL,31,COOK,0,0
41772,109,36,NY,71,ORANGE,1,1
41799,323,12,FL,73,LEON,0,0
41993,164,0,0,0,0,0,0
42396,384,0,0,0,0,0,0
42578,217,24,MD,21,FREDERICK,1,1
42660,342,12,FL,81,MANATEE,1,1
42799,278,0,0,0,0,0,0
43202,706,0,0,0,0,0,0
43226,704,22,LA,103,ST TAMMANY,1,1
43605,300,0,0,0,0,0,0
43755,954,6,CA,97,SONOMA,1,1
43787,150,42,PA,129,WESTMORELND,1,1
44081,605,17,IL,89,KANE,1,1
44109,435,39,OH,95,LUCAS,1,1
44236,926,6,CA,59,ORANGE,1,1
44257,935,0,0,0,0,0,0
44326,750,48,TX,85,COLLIN,1,1
44411,242,0,0,0,0,0,0
44516,719,0,0,0,0,0,0
44517,207,24,MD,33,PRNC GEORGES,1,0
44558,301,13,GA,143,HARALSON,1,0
44814,326,0,0,0,0,0,0
45042,630,29,MO,189,ST LOUIS,1,1
45241,705,22,LA,39,EVANGELINE,1,1
45399,775,48,TX,167,GALVESTON,1,1
45558,333,12,FL,11,BROWARD,1,0
46047,706,22,LA,19,CALCASIEU,1,1
46205,458,39,OH,107,MERCER,1,1
46853,706,22,LA,3,ALLEN,0,0
47011,10,25,MA,13,HAMPDEN,1,1
47087,42,0,0,0,0,0,0
47115,534,55,WI,101,RACINE,1,0
47379,315,13,GA,305,WAYNE,1,0
47654,752,48,TX,113,DALLAS,0,0
47817,170,42,PA,67,JUNIATA,1,1
47976,38,0,0,0,0,0,0
47985,549,55,WI,139,WINNEBAGO,1,0
48057,752,48,TX,113,DALLAS,0,0
48460,752,48,TX,113,DALLAS,0,0
48669,301,13,GA,97,DOUGLAS,1,1
48727,851,4,AZ,21,PINAL,0,0
48727,852,0,0,0,0,0,0
48822,542,55,WI,29,DOOR,1,0
48868,707,22,LA,77,POINT COUPEE,1,1
48994,954,6,CA,45,MENDOCINO,1,1
49130,864,4,AZ,15,MOHAVE,1,0
49243,317,13,GA,95,DOUGHERTY,1,1
49334,64,9,CT,9,NEW HAVEN,0,0
49342,153,0,0,0,0,0,0
49429,277,37,NC,63,DURHAM,1,0
49669,752,48,TX,113,DALLAS,0,0
49832,212,24,MD,510,BALTIMORE CT,0,0
49878,272,37,NC,67,FORSYTH,1,1
50053,719,0,0,0,0,0,0
50475,752,48,TX,113,DALLAS,0,0
50638,28,44,RI,9,WASHINGTON,1,1
50665,328,12,FL,95,ORANGE,1,1
50733,558,27,MN,137,SAINT LOUIS,1,1
51068,328,12,FL,95,ORANGE,1,1
51136,563,27,MN,145,STEARNS,1,1
51281,752,48,TX,113,DALLAS,0,0
51412,954,6,CA,45,MENDOCINO,1,1
51604,181,42,PA,77,LEHIGH,1,0
52068,364,0,0,0,0,0,0
52087,750,48,TX,113,DALLAS,0,0
52250,133,36,NY,77,OTSEGO,1,1
52354,718,5,AR,91,MILLER,1,0
52495,711,22,LA,17,CADDO,1,1
52653,207,24,MD,33,PRNC GEORGES,1,1
52898,12,25,MA,3,BERKSHIRE,1,1
53083,329,12,FL,9,BREVARD,1,1
53459,462,18,IN,97,MARION,1,1
53640,744,40,OK,111,OKMULGEE,0,0
53680,385,0,0,0,0,0,0
53704,19,25,MA,9,ESSEX,1,1
